INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,3,ADMISSION_MONTH_8,0.0432,0.1452,0.0884,1,0.7662
I00699,3,ADMISSION_MONTH_9,-0.0086,0.149,0.0033,1,0.9541
I00699,3,ADMISSION_MONTH_10,0.1077,0.149,0.5225,1,0.4698
I00699,3,ADMISSION_MONTH_11,0.2133,0.1448,2.17,1,0.1407
I00699,3,ADMISSION_MONTH_12,0,,,0,
I00699,3,AGE_GROUP_1,-12.0182,345.1804,0.0012,1,0.9722
I00699,3,AGE_GROUP_2,0,,,0,
I00699,3,AGE_GROUP_3,-12.1166,203.8537,0.0035,1,0.9526
I00699,3,AGE_GROUP_4,-0.2604,1.0564,0.0608,1,0.8053
I00699,3,AGE_GROUP_5,0.2155,1.0574,0.0415,1,0.8385
I00699,3,AGE_GROUP_6,0.9864,0.7869,1.5711,1,0.21
I00699,3,AGE_GROUP_7,0.5942,0.7862,0.5712,1,0.4498
I00699,3,AGE_GROUP_8,0.9575,0.6061,2.4959,1,0.1141
I00699,3,AGE_GROUP_9,0.8419,0.6057,1.9323,1,0.1645
I00699,3,AGE_GROUP_10,0.3005,0.671,0.2006,1,0.6543
I00699,3,AGE_GROUP_11,1.2397,0.4777,6.7343,1,0.0095
I00699,3,AGE_GROUP_12,1.5065,0.4199,12.8728,1,0.0003
I00699,3,AGE_GROUP_13,1.8059,0.3881,21.6484,1,0
I00699,3,AGE_GROUP_14,2.3742,0.3653,42.2485,1,0
I00699,3,AGE_GROUP_15,2.2755,0.3623,39.4412,1,0
I00699,3,AGE_GROUP_16,2.4438,0.3543,47.5794,1,0
I00699,3,AGE_GROUP_17,2.689,0.3503,58.9208,1,0
I00699,3,AGE_GROUP_18,2.8891,0.3495,68.3469,1,0
I00699,3,AGE_GROUP_19,3.07,0.3491,77.3269,1,0
I00699,3,AGE_GROUP_20,3.5339,0.3488,102.6478,1,0
I00699,3,AGE_GROUP_21,0,,,0,
I00699,3,BIRTHWEIGHT_6,0,,,0,
I00699,3,CHARLSON_INDEX_1,0,,,0,
I00699,3,CHARLSON_INDEX_2,0.0216,0.1564,0.019,1,0.8903
I00699,3,CHARLSON_INDEX_3,1.0455,0.1073,94.9827,1,0
I00699,3,GENDER_1,0,,,0,
I00699,3,GENDER_2,-0.0723,0.0613,1.3886,1,0.2386
I00699,3,GENDER_3,0,,,0,
I00699,3,Intercept,-5.6712,0.3499,262.7568,1,0
I00699,3,YEAR_INDEX_1,0,,,0,
I00699,3,YEAR_INDEX_2,-0.0768,0.0718,1.1464,1,0.2843
I00699,3,YEAR_INDEX_3,-0.1565,0.0759,4.2471,1,0.0393
I00699,4,ADMIMETH_1,-0.3523,0.2289,2.3696,1,0.1237
I00699,4,ADMIMETH_2,0,,,0,
I00699,4,ADMIMETH_3,0,,,0,
I00699,4,ADMISSION_MONTH_1,0.0492,0.2665,0.034,1,0.8536
I00699,4,ADMISSION_MONTH_2,0.0773,0.2632,0.0862,1,0.7691
I00699,4,ADMISSION_MONTH_3,-0.0425,0.2683,0.0251,1,0.874
I00699,4,ADMISSION_MONTH_4,0.3251,0.2628,1.5299,1,0.2161
I00699,4,ADMISSION_MONTH_5,0.0693,0.263,0.0694,1,0.7922
I00699,4,ADMISSION_MONTH_6,0.01,0.2494,0.0016,1,0.968
I00699,4,ADMISSION_MONTH_7,0.0967,0.2482,0.1517,1,0.6969
I00699,4,ADMISSION_MONTH_8,0,,,0,
I00699,4,ADMISSION_MONTH_9,-0.0281,0.2626,0.0115,1,0.9147
I00699,4,ADMISSION_MONTH_10,-0.0375,0.2603,0.0208,1,0.8854
I00699,4,ADMISSION_MONTH_11,-0.0748,0.2679,0.078,1,0.78
I00699,4,ADMISSION_MONTH_12,0.1854,0.2568,0.5214,1,0.4702
I00699,4,AGE_GROUP_1,0,,,0,
I00699,4,AGE_GROUP_2,-14.2955,643.4536,0.0005,1,0.9823
I00699,4,AGE_GROUP_3,-1.3634,1.06,1.6543,1,0.1984
I00699,4,AGE_GROUP_4,-14.5961,951.1083,0.0002,1,0.9878
I00699,4,AGE_GROUP_5,0.6456,0.6771,0.9093,1,0.3403
I00699,4,AGE_GROUP_6,0.0747,0.788,0.009,1,0.9245
I00699,4,AGE_GROUP_7,-14.2468,819.0079,0.0003,1,0.9861
I00699,4,AGE_GROUP_8,-0.9509,1.0587,0.8067,1,0.3691
I00699,4,AGE_GROUP_9,0.7687,0.5148,2.2297,1,0.1354
I00699,4,AGE_GROUP_10,0.9283,0.4857,3.6519,1,0.056
I00699,4,AGE_GROUP_11,0.3217,0.5191,0.384,1,0.5355
I00699,4,AGE_GROUP_12,0.7278,0.4531,2.58,1,0.1082
I00699,4,AGE_GROUP_13,1.0191,0.4181,5.9412,1,0.0148
I00699,4,AGE_GROUP_14,1.3906,0.3986,12.1695,1,0.0005
I00699,4,AGE_GROUP_15,1.5241,0.3904,15.2429,1,0.0001
I00699,4,AGE_GROUP_16,1.5622,0.3867,16.3176,1,0.0001
I00699,4,AGE_GROUP_17,1.3457,0.3981,11.4254,1,0.0007
I00699,4,AGE_GROUP_18,1.8406,0.3907,22.196,1,0
I00699,4,AGE_GROUP_19,1.9363,0.3991,23.5418,1,0
I00699,4,AGE_GROUP_20,1.9814,0.4165,22.6313,1,0
I00699,4,AGE_GROUP_21,0,,,0,
I00699,4,BIRTHWEIGHT_6,0,,,0,
I00699,4,CHARLSON_INDEX_1,0,,,0,
I00699,4,CHARLSON_INDEX_2,0.647,0.2221,8.4909,1,0.0036
I00699,4,CHARLSON_INDEX_3,1.31,0.1877,48.6972,1,0
I00699,4,GENDER_1,0.4834,0.1127,18.3978,1,0
I00699,4,GENDER_2,0,,,0,
I00699,4,GENDER_3,0,,,0,
I00699,4,Intercept,-5.5709,0.3929,201.0375,1,0
I00699,4,YEAR_INDEX_1,0,,,0,
I00699,4,YEAR_INDEX_2,0.0688,0.1362,0.255,1,0.6136
I00699,4,YEAR_INDEX_3,0.2163,0.137,2.4933,1,0.1143
I00699,5,ADMIMETH_1,-1.2925,0.3142,16.9261,1,0
I00699,5,ADMIMETH_2,0,,,0,
I00699,5,ADMIMETH_3,0,,,0,
I00699,5,ADMISSION_MONTH_1,0.3208,0.3467,0.856,1,0.3549
I00699,5,ADMISSION_MONTH_2,-0.5196,0.4225,1.5124,1,0.2188
I00699,5,ADMISSION_MONTH_3,-0.5019,0.4216,1.4169,1,0.2339
I00699,5,ADMISSION_MONTH_4,-0.3584,0.3978,0.8115,1,0.3677
I00699,5,ADMISSION_MONTH_5,-0.4286,0.3862,1.2312,1,0.2672
I00699,5,ADMISSION_MONTH_6,0,,,0,
I00699,5,ADMISSION_MONTH_7,-0.0902,0.3539,0.065,1,0.7988
I00699,5,ADMISSION_MONTH_8,-0.1434,0.359,0.1596,1,0.6895
I00699,5,ADMISSION_MONTH_9,-1.7605,0.6328,7.7391,1,0.0054
I00699,5,ADMISSION_MONTH_10,0.0392,0.3489,0.0126,1,0.9105
I00699,5,ADMISSION_MONTH_11,-0.4839,0.3961,1.492,1,0.2219
I00699,5,ADMISSION_MONTH_12,-0.3309,0.3976,0.6926,1,0.4053
I00699,5,AGE_GROUP_21,0,,,0,
I00699,5,BIRTHWEIGHT_6,0,,,0,
I00699,5,CHARLSON_INDEX_1,0,,,0,
I00699,5,CHARLSON_INDEX_2,0.2389,0.261,0.8377,1,0.3601
I00699,5,CHARLSON_INDEX_3,1.4256,0.2005,50.5419,1,0
I00699,5,GENDER_1,0,,,0,
I00699,5,GENDER_2,-0.4431,0.1872,5.6056,1,0.0179
I00699,5,GENDER_3,0,,,0,
I00699,5,Intercept,-3.221,0.3154,104.2904,1,0
I00699,5,YEAR_INDEX_1,0,,,0,
I00699,5,YEAR_INDEX_2,0.2376,0.2179,1.1894,1,0.2754
I00699,5,YEAR_INDEX_3,0.4321,0.2093,4.2626,1,0.039
I00699,6,ADMIMETH_1,-0.9429,0.2051,21.1327,1,0
I00699,6,ADMIMETH_2,0,,,0,
I00699,6,ADMIMETH_3,0,,,0,
I00699,6,ADMISSION_MONTH_1,-0.0055,0.1026,0.0029,1,0.9573
I00699,6,ADMISSION_MONTH_2,-0.0416,0.1049,0.1573,1,0.6916
I00699,6,ADMISSION_MONTH_3,-0.0831,0.1042,0.6361,1,0.4251
I00699,6,ADMISSION_MONTH_4,-0.1322,0.1089,1.4738,1,0.2247
I00699,6,ADMISSION_MONTH_5,-0.1084,0.1036,1.0959,1,0.2952
I00699,6,ADMISSION_MONTH_6,-0.1914,0.1045,3.3516,1,0.0671
I00699,6,ADMISSION_MONTH_7,-0.1411,0.1013,1.9405,1,0.1636
I00699,6,ADMISSION_MONTH_8,-0.0796,0.1026,0.6023,1,0.4377
I00699,6,ADMISSION_MONTH_9,0,,,0,
I00699,6,ADMISSION_MONTH_10,0.0094,0.0984,0.0091,1,0.9238
I00699,6,ADMISSION_MONTH_11,-0.1245,0.1016,1.5013,1,0.2205
I00699,6,ADMISSION_MONTH_12,-0.0623,0.1003,0.3859,1,0.5345
I00699,6,AGE_GROUP_1,0.1267,0.4832,0.0687,1,0.7932
I00699,6,AGE_GROUP_2,0,,,0,
I00699,6,AGE_GROUP_3,-1.0507,0.7302,2.0709,1,0.1501
I00699,6,AGE_GROUP_4,-0.4303,1.0167,0.1792,1,0.6721
I00699,6,AGE_GROUP_5,-0.5448,1.0166,0.2872,1,0.592
I00699,6,AGE_GROUP_6,1.0929,0.5327,4.2092,1,0.0402
I00699,6,AGE_GROUP_7,0.9627,0.606,2.5236,1,0.1122
I00699,6,AGE_GROUP_8,1.5904,0.448,12.6031,1,0.0004
I00699,6,AGE_GROUP_9,1.6552,0.4483,13.6333,1,0.0002
I00699,6,AGE_GROUP_10,2.5895,0.3258,63.1782,1,0
I00699,6,AGE_GROUP_11,2.5427,0.3266,60.6028,1,0
I00699,6,AGE_GROUP_12,3.4734,0.2395,210.3717,1,0
I00699,6,AGE_GROUP_13,3.6372,0.229,252.3565,1,0
I00699,6,AGE_GROUP_14,3.9415,0.2179,327.2229,1,0
I00699,6,AGE_GROUP_15,4.1582,0.2124,383.1458,1,0
I00699,6,AGE_GROUP_16,4.5638,0.2042,499.6926,1,0
I00699,6,AGE_GROUP_17,4.9198,0.2006,601.4082,1,0
I00699,6,AGE_GROUP_18,5.1811,0.1995,674.6053,1,0
I00699,6,AGE_GROUP_19,5.4026,0.1993,734.9932,1,0
I00699,6,AGE_GROUP_20,5.8411,0.1989,862.5679,1,0
I00699,6,AGE_GROUP_21,0,,,0,
I00699,6,BIRTHWEIGHT_6,0,,,0,
I00699,6,CHARLSON_INDEX_1,0,,,0,
I00699,6,CHARLSON_INDEX_2,0.1793,0.1062,2.8513,1,0.0913
I00699,6,CHARLSON_INDEX_3,1.3635,0.0729,349.6314,1,0
I00699,6,GENDER_1,0,,,0,
I00699,6,GENDER_2,-0.0519,0.0432,1.4386,1,0.2304
I00699,6,GENDER_3,0,,,0,
I00699,6,Intercept,-8.4157,0.1963,1837.2949,1,0
I00699,6,YEAR_INDEX_1,0,,,0,
I00699,6,YEAR_INDEX_2,-0.0398,0.0491,0.6584,1,0.4171
I00699,6,YEAR_INDEX_3,-0.2064,0.0556,13.7805,1,0.0002
I00699,7,ADMIMETH_1,0,,,0,
I00699,7,ADMIMETH_2,0,,,0,
I00699,7,ADMIMETH_3,3.0855,0.0672,2110.9635,1,0
I00699,7,ADMISSION_MONTH_1,-0.0022,0.114,0.0004,1,0.9845
I00699,7,ADMISSION_MONTH_2,-0.1075,0.1187,0.8213,1,0.3648
I00699,7,ADMISSION_MONTH_3,-0.1694,0.1171,2.0908,1,0.1482
I00699,7,ADMISSION_MONTH_4,-0.2089,0.1227,2.9,1,0.0886
I00699,7,ADMISSION_MONTH_5,0.0069,0.1139,0.0037,1,0.9518
I00699,7,ADMISSION_MONTH_6,-0.1069,0.1151,0.8629,1,0.3529
I00699,7,ADMISSION_MONTH_7,-0.119,0.1145,1.0799,1,0.2987
I00699,7,ADMISSION_MONTH_8,-0.008,0.1125,0.0051,1,0.9432
I00699,7,ADMISSION_MONTH_9,0.1067,0.1109,0.9253,1,0.3361
I00699,7,ADMISSION_MONTH_10,-0.0027,0.1139,0.0006,1,0.981
I00699,7,ADMISSION_MONTH_11,0,,,0,
I00699,7,ADMISSION_MONTH_12,-0.2273,0.1216,3.4908,1,0.0617
I00699,7,AGE_GROUP_1,-10.5771,132.519,0.0064,1,0.9364
I00699,7,AGE_GROUP_2,-0.6667,1.0433,0.4083,1,0.5228
I00699,7,AGE_GROUP_3,-1.2597,1.0329,1.4875,1,0.2226
I00699,7,AGE_GROUP_4,-1.1358,1.0273,1.2224,1,0.2689
I00699,7,AGE_GROUP_5,-1.7646,1.0204,2.9907,1,0.0837
I00699,7,AGE_GROUP_6,-0.241,0.7542,0.1022,1,0.7493
I00699,7,AGE_GROUP_7,-1.3053,0.7274,3.2199,1,0.0727
I00699,7,AGE_GROUP_8,-0.5528,0.4027,1.8847,1,0.1698
I00699,7,AGE_GROUP_9,-0.6221,0.3229,3.7114,1,0.054
I00699,7,AGE_GROUP_10,-0.2811,0.1967,2.0428,1,0.1529
I00699,7,AGE_GROUP_11,-0.4586,0.1535,8.9219,1,0.0028
I00699,7,AGE_GROUP_12,-0.1036,0.1054,0.9668,1,0.3255
I00699,7,AGE_GROUP_13,-0.1078,0.0947,1.2949,1,0.2551
I00699,7,AGE_GROUP_14,0,,,0,
I00699,7,AGE_GROUP_15,0.294,0.0853,11.8787,1,0.0006
I00699,7,AGE_GROUP_16,0.3462,0.0868,15.921,1,0.0001
I00699,7,AGE_GROUP_17,0.6708,0.091,54.2911,1,0
I00699,7,AGE_GROUP_18,0.7345,0.1039,49.9483,1,0
I00699,7,AGE_GROUP_19,1.1233,0.1273,77.8905,1,0
I00699,7,AGE_GROUP_20,1.1262,0.1726,42.5775,1,0
I00699,7,AGE_GROUP_21,0,,,0,
I00699,7,BIRTHWEIGHT_6,0,,,0,
I00699,7,CHARLSON_INDEX_1,0,,,0,
I00699,7,CHARLSON_INDEX_2,0.3613,0.082,19.4377,1,0
I00699,7,CHARLSON_INDEX_3,0.9017,0.0577,244.1718,1,0
I00699,7,GENDER_1,0,,,0,
I00699,7,GENDER_2,-0.012,0.054,0.0495,1,0.824
I00699,7,GENDER_3,0,,,0,
I00699,7,Intercept,-5.1871,0.1262,1688.8703,1,0
I00699,7,YEAR_INDEX_1,0,,,0,
I00699,7,YEAR_INDEX_2,0.0362,0.0568,0.4049,1,0.5246
I00699,7,YEAR_INDEX_3,-0.0704,0.0602,1.367,1,0.2423
I00699,8,ADMIMETH_1,-1.9552,0.0555,1238.8975,1,0
I00699,8,ADMIMETH_2,0,,,0,
I00699,8,ADMIMETH_3,0,,,0,
I00699,8,ADMISSION_MONTH_1,-0.07,0.0897,0.6096,1,0.4349
I00699,8,ADMISSION_MONTH_2,-0.0617,0.091,0.4596,1,0.4978
I00699,8,ADMISSION_MONTH_3,-0.2013,0.0902,4.9797,1,0.0256
I00699,8,ADMISSION_MONTH_4,0.0026,0.0898,0.0008,1,0.9769
I00699,8,ADMISSION_MONTH_5,-0.0282,0.0865,0.1066,1,0.7441
I00699,8,ADMISSION_MONTH_6,-0.1073,0.087,1.5222,1,0.2173
I00699,8,ADMISSION_MONTH_7,-0.0001,0.0857,0,1,0.9994
I00699,8,ADMISSION_MONTH_8,0,,,0,
I00699,8,ADMISSION_MONTH_9,-0.1087,0.0871,1.558,1,0.212
I00699,8,ADMISSION_MONTH_10,-0.1092,0.0872,1.5679,1,0.2105
I00699,8,ADMISSION_MONTH_11,0.0568,0.0865,0.4309,1,0.5115
I00699,8,ADMISSION_MONTH_12,-0.0474,0.0887,0.2861,1,0.5928
I00699,8,AGE_GROUP_6,0.0626,0.8259,0.0057,1,0.9396
I00699,8,AGE_GROUP_7,-1.1997,1.0479,1.3107,1,0.2523
I00699,8,AGE_GROUP_8,-1.3014,0.6091,4.5648,1,0.0326
I00699,8,AGE_GROUP_9,-0.0393,0.3034,0.0167,1,0.8971
I00699,8,AGE_GROUP_10,-0.6319,0.2284,7.6557,1,0.0057
I00699,8,AGE_GROUP_11,-0.2068,0.1383,2.2356,1,0.1349
I00699,8,AGE_GROUP_12,0.0163,0.0996,0.0268,1,0.87
I00699,8,AGE_GROUP_13,-0.0231,0.0801,0.0829,1,0.7734
I00699,8,AGE_GROUP_14,-0.0633,0.0715,0.784,1,0.3759
I00699,8,AGE_GROUP_15,-0.0019,0.0664,0.0008,1,0.9776
I00699,8,AGE_GROUP_16,0,,,0,
I00699,8,AGE_GROUP_17,0.2698,0.0631,18.3041,1,0
I00699,8,AGE_GROUP_18,0.4131,0.0687,36.1556,1,0
I00699,8,AGE_GROUP_19,0.5268,0.0798,43.6167,1,0
I00699,8,AGE_GROUP_20,0.8705,0.1056,67.961,1,0
I00699,8,AGE_GROUP_21,0,,,0,
I00699,8,BIRTHWEIGHT_6,0,,,0,
I00699,8,CHARLSON_INDEX_1,0,,,0,
I00699,8,CHARLSON_INDEX_2,0.1346,0.077,3.0576,1,0.0804
I00699,8,CHARLSON_INDEX_3,1.2473,0.0505,610.0042,1,0
I00699,8,GENDER_1,0,,,0,
I00699,8,GENDER_2,0.0149,0.0419,0.1264,1,0.7222
I00699,8,GENDER_3,0,,,0,
I00699,8,Intercept,-1.8016,0.0896,404.2611,1,0
I00699,8,YEAR_INDEX_1,0,,,0,
I00699,8,YEAR_INDEX_2,-0.02,0.0451,0.1967,1,0.6574
I00699,8,YEAR_INDEX_3,-0.1945,0.0464,17.5587,1,0
I00699,9,ADMIMETH_1,-2.1686,0.072,906.6796,1,0
I00699,9,ADMIMETH_2,0,,,0,
I00699,9,ADMIMETH_3,0,,,0,
I00699,9,ADMISSION_MONTH_1,-0.1215,0.113,1.1556,1,0.2824
I00699,9,ADMISSION_MONTH_2,-0.1139,0.1163,0.9592,1,0.3274
I00699,9,ADMISSION_MONTH_3,-0.1503,0.1149,1.7122,1,0.1907
I00699,9,ADMISSION_MONTH_4,-0.0113,0.1132,0.01,1,0.9205
I00699,9,ADMISSION_MONTH_5,-0.175,0.1124,2.4238,1,0.1195
I00699,9,ADMISSION_MONTH_6,-0.1052,0.1096,0.9219,1,0.337
I00699,9,ADMISSION_MONTH_7,-0.0906,0.1098,0.6811,1,0.4092
I00699,9,ADMISSION_MONTH_8,-0.0961,0.1102,0.7603,1,0.3832
I00699,9,ADMISSION_MONTH_9,0,,,0,
I00699,9,ADMISSION_MONTH_10,-0.2555,0.1151,4.9288,1,0.0264
I00699,9,ADMISSION_MONTH_11,-0.0977,0.1109,0.777,1,0.378
I00699,9,ADMISSION_MONTH_12,-0.1596,0.116,1.8914,1,0.169
I00699,9,AGE_GROUP_3,-11.0286,641.9411,0.0003,1,0.9863
I00699,9,AGE_GROUP_5,-0.4684,1.1183,0.1754,1,0.6754
I00699,9,AGE_GROUP_6,-11.7389,235.2622,0.0025,1,0.9602
I00699,9,AGE_GROUP_7,-0.5734,0.4337,1.7481,1,0.1861
I00699,9,AGE_GROUP_8,-1.0619,0.3469,9.3677,1,0.0022
I00699,9,AGE_GROUP_9,-0.4752,0.2313,4.221,1,0.0399
I00699,9,AGE_GROUP_10,-0.5569,0.1825,9.3089,1,0.0023
I00699,9,AGE_GROUP_11,-0.3911,0.1396,7.8444,1,0.0051
I00699,9,AGE_GROUP_12,-0.0844,0.1198,0.4956,1,0.4814
I00699,9,AGE_GROUP_13,-0.2865,0.1045,7.5099,1,0.0061
I00699,9,AGE_GROUP_14,-0.1284,0.0965,1.7709,1,0.1833
I00699,9,AGE_GROUP_15,-0.1276,0.0911,1.9635,1,0.1611
I00699,9,AGE_GROUP_16,0,,,0,
I00699,9,AGE_GROUP_17,0.1148,0.0842,1.8579,1,0.1729
I00699,9,AGE_GROUP_18,0.3483,0.0884,15.5262,1,0.0001
I00699,9,AGE_GROUP_19,0.4744,0.0986,23.1495,1,0
I00699,9,AGE_GROUP_20,0.7041,0.1302,29.2478,1,0
I00699,9,AGE_GROUP_21,0,,,0,
I00699,9,BIRTHWEIGHT_6,0,,,0,
